FOOD,REFUSE (%),WATER (g),ENERGY (Kcal),PROTEIN (g),FAT (g),ASH (g),FIBER (g),CARBOHYDRATE (g),SODIUM (mg),POTASSIUM (mg),CALCIUM (mg),PHOSPHORUS (mg),MAGNESIUM (mg),IRON (mg),ZINC (mg),COPPER (mg),VITAMIN A (ugre),VITAMIN C (mg),THIAMIN (mg),REBOFLAVIN (mg)
Karkade,9.4,70.91,64.47,0.21,0,2.28,7.64,15.04,377.9,240.73,151.24,61.53,75.64,3.7,2.1,0.39,657.29,45.88,0.25,0.37
Mahshi Kousa,6.05,47.44,470.84,12.84,12.84,1.59,1.51,77.05,530.15,536.58,114.28,197.47,50.08,5.77,3.53,0.36,773.04,32.03,0.1,0.42
Konafa,7.91,68.82,1365.16,31.2,58.51,0.82,7.01,175.52,508.48,493.29,86.87,198.49,22.26,2.56,4.46,0.13,456.77,38.47,0.04,0.35
Chicken Liver,2.75,63.58,112.65,16.38,3.41,2.39,4.2,0.68,210.02,554.15,27.16,138.46,80.91,4.98,2.88,0.32,662.67,21.65,0.07,0.11
Chicken Thigh Stewed,1.48,72.84,264.37,32.73,13.85,1.73,6.9,0,125.74,442.99,56.7,114.75,67.3,1.11,1.69,0.5,624.33,30.14,0.41,0.1
Mahshi Kousa,9.85,56.58,73.93,2.02,2.02,1.24,1.77,12.1,64.25,474.46,78.17,273.54,13.26,3.38,3.45,0.25,502.41,18.39,0.11,0.05
Taameya Baked,8.65,43.58,448.37,24.29,18.68,1.98,1.03,37.36,11.13,489.04,175.92,273.99,107.15,3.79,1.51,0.31,700.46,7.77,0.3,0.24
Grilled Fish,4.73,61.68,639.52,105.06,22.84,2.13,7.56,0,403.19,250.5,106.32,239.92,111.75,2.01,1.5,0.46,641.2,0.2,0.48,0.38
Tea with Sugar,4.78,52.55,37.3,0,0,2.45,4.26,9.33,138.35,302.5,28.35,114.39,73.92,0.54,4.73,0.21,142.41,57.52,0.44,0.25
Vegetable Oil,3.54,58.83,3375.69,0,381.87,1.2,2.58,0,381.34,347.99,115.49,239.79,96.63,0.73,1.18,0.27,247.45,30.08,0.26,0.32
Chickpeas Cooked,2.65,46.76,86.52,4.75,1.37,1.62,5.3,14.24,305.15,301.28,21.16,268.3,68.45,2.49,4.92,0.39,39.86,25.26,0.4,0.43
Kofta,5.57,53.83,682.3,52.48,47.24,1.93,1.87,13.12,386.96,149.04,150.1,151.79,35.3,1.76,1.95,0.18,174.83,6.07,0.11,0.23
Sobia,4.25,59.25,195.74,2.8,6.99,1.94,4.32,27.96,194.8,570.59,63.16,122.01,47.84,4.01,3.71,0.25,60.02,53.05,0.25,0.07
Yogurt,11.4,67.82,162.14,9.46,8.11,0.91,4.76,13.51,338.01,485.74,175.04,189.96,94.79,5.58,4.73,0.36,495.63,38.56,0.37,0.2
Hawawshi,7.26,74.21,1286.32,53.94,49.79,1.13,6.66,141.08,432.1,551.65,173.72,195.75,61.38,3.39,4.48,0.46,591.77,6.59,0.23,0.41
Bamia,1.75,67.69,158.42,7.46,5.59,1.54,7.69,18.64,576.19,227.81,57.06,145.58,105.08,5.41,2.49,0.26,685.6,1.54,0.49,0.2
Hawawshi,4.05,78.73,738.94,30.99,28.6,1.93,6.69,81.04,497.86,261.13,50.06,216.7,66.78,0.64,3.61,0.07,521.74,48.28,0.1,0.42
Ghorayeba,8.87,66.13,1613.23,16.8,107.55,1.76,5.53,94.1,565.83,570.63,41.5,186.35,61.48,5.96,2.13,0.05,111.95,39.52,0.09,0.17
Labneh,12.23,62.58,275.25,22.94,18.35,1.5,4.81,6.88,267.01,301.83,103.93,221.78,35.87,2.78,2.05,0.22,318.06,15,0.44,0.3
Apple,2.73,43.57,233.58,1.35,0.9,1.27,2.37,62.89,320.9,186.18,186.39,103.91,25.04,0.95,3.43,0.37,492.39,36.36,0.19,0.39
Rice Pudding,11.59,48.93,492.18,12.3,12.3,1.66,4.44,90.23,401.31,254.12,190.32,102.21,104.36,2.42,3.78,0.49,730.71,48.6,0.4,0.1
Ghee,10.76,62.63,3899.24,0,433.25,2.07,4,0,140.63,109.56,146.23,290.37,51.81,3.11,3.4,0.37,465.67,39.59,0.11,0.13
Kaak,13.14,70.91,1726.68,24.67,90.45,1.61,2.61,123.33,570.04,272.55,96.34,62.41,34.24,2.33,1.6,0.3,505.05,1.59,0.39,0.39
Kashkaval Cheese,11.58,69.26,335.18,23.94,26.81,1.56,3.77,1.92,489.06,276.98,189.65,227.83,109.63,4.02,4.09,0.05,755.67,28.45,0.43,0.17
Kebab,0.06,73.45,432.29,41.5,27.67,1.95,4.75,1.73,597.31,514.32,149.15,51.65,72.43,3.05,1.49,0.32,798.53,46.71,0.07,0.49
Imam Bayildi,9.1,64.8,166.57,2.94,8.82,1.6,7.93,19.6,463.61,281.44,184.26,293.78,11.99,5.36,0.95,0.05,348.97,19.8,0.07,0.02
Atayef,1.4,79.32,712.26,13.35,26.71,0.65,4.4,89.03,58.19,554.61,121.76,77.62,108.49,0.99,1.45,0.45,104.37,18.19,0.06,0.32
Green Lentils Cooked,7.9,68.07,231.37,17.95,0.8,1.88,1.48,39.89,19.91,257.77,84.38,89.6,66.22,0.38,1.6,0.16,499.87,35.87,0.44,0.45
Zucchini Stew,3.37,48.99,53.32,1.18,1.78,1.64,5.78,7.11,262.61,510.98,193.57,169.73,86.52,5.43,2.2,0.01,653.26,10.67,0.03,0.05
Roasted Chicken,6.52,45.85,528.67,62.94,27.69,2.32,0.79,0,486.02,308.01,38.94,152.65,17.8,1.95,2.35,0.49,574.05,50.39,0.23,0.47
Beef Liver,1.05,46.19,218.55,35.76,5.3,0.88,0.09,5.3,336.58,415.97,159.16,139.66,78.94,5.49,3.52,0.48,115.53,32.3,0.12,0.34
Atayef,6.49,70.08,571.49,10.72,21.43,1.91,2.29,71.44,61.23,118.9,194.43,298.95,40.09,5.32,2.44,0.18,665.3,40.86,0.19,0.18
Olive Oil,4.98,61.23,3450.92,0,390.38,2.34,1.03,0,581.08,415.5,93.4,160.15,82.67,2.59,3.06,0.46,641.28,30.12,0.12,0.49
White Bread,6.55,79.73,724.78,24.62,8.75,2.18,3.26,134.02,481.99,204.59,149.53,119.76,55.11,4.73,0.52,0.24,674.02,0.72,0.05,0.15
Chickpeas Cooked,0.09,69.64,442.72,24.3,7.02,2.4,3.32,72.89,347.68,384.55,150.63,215.14,12.51,4.62,2.27,0.18,391.27,8.19,0.23,0.23
Chicken Liver,1.52,76.23,397.81,57.86,12.05,1.6,6.02,2.41,599.7,198.41,112.14,258.03,58.57,2.69,0.57,0.14,316.73,16.6,0.12,0.06
Freekeh Cooked,5.82,73.66,390.98,15.64,5.86,2.45,0.57,78.2,433.2,163.18,94.24,256.11,53.25,2.46,0.87,0.1,291.95,28.05,0.37,0.03
Mango,4.54,63.18,33.9,0.45,0.23,0.94,5.1,8.48,503.72,351.1,179.6,198.16,37.41,5.66,2.03,0.39,508.05,28.36,0.27,0.44
Zucchini Stew,9.7,42.23,232.4,5.16,7.75,0.57,0.29,30.99,429.7,416.49,101.59,210.1,24.37,2.03,2.9,0.22,520.04,6.43,0.36,0.03
Mahshi Pepper,4.16,53.31,456.78,12.46,12.46,1.34,5.78,83.05,113.99,296.96,64.44,124.31,98.37,0.79,4.28,0.04,506.92,55.13,0.09,0.37
Basbousa,5.32,52.69,423.88,5.73,13.75,0.79,5.59,63.01,284.12,202.14,120.85,199.86,65.05,5.02,3.19,0.08,413.97,22.94,0.4,0.21
Baladi Bread,0.94,59.14,294.38,9.81,1.65,0.73,1.69,58.44,151.22,448.25,77.55,141.22,107.56,3.7,1.19,0.24,168.62,13.13,0.23,0.34
White Bread,8.71,72.82,1122.24,38.11,13.55,1.82,2.71,207.51,319.16,448.99,24.12,117.38,88.92,2.84,2.98,0.35,212.34,38.06,0.31,0.17
Labneh,8.15,73.09,297.52,24.79,19.83,1.05,6.24,7.44,420.17,318.84,123.99,245.09,21.88,3.67,3.87,0.42,753.78,47.63,0.22,0.39
Green Lentils Cooked,12.96,40.24,155.06,12.03,0.53,2.45,5.37,26.73,143.44,235.22,142.7,230.04,109.54,4.2,2.63,0.26,582.4,1.65,0.4,0.07
Butter,8.68,40.02,1000.25,1.26,113,2.49,1.06,0.14,560.01,106.5,25.4,164.25,89.3,4.8,2.1,0.15,752.7,49.23,0.35,0.24
Omelette,4.26,62.22,633.65,45.76,45.76,1.68,6.88,7.04,104.65,496.98,122.2,186.51,44.67,4.75,2.91,0.33,164.38,2.9,0.18,0.39
Roasted Chicken,5.71,78.64,236.58,28.16,12.39,1.74,5.11,0,171.37,237.91,148.48,107.79,113.86,3.81,3.52,0.24,554.34,49.96,0.33,0.17
Banana,1.35,73.37,250.55,3.1,0.84,0.87,7.66,64.75,100.88,448.68,62.08,59.18,78.83,4.81,4.93,0.16,242.52,22.34,0.06,0.41
White Cheese,14.1,47.88,726.05,26.62,60.5,1.07,4.8,7.26,429.51,306.51,24.03,84.25,66.14,4.09,1.88,0.38,112.86,27.97,0.42,0.18
Grilled Chicken Breast,2.56,49.6,707.35,132.9,15.43,2.25,2.98,0,367.88,431.54,96.1,277.95,51.66,2.58,1.62,0.37,469.15,40.36,0.37,0.24
Kashkaval Cheese,9.75,40.68,787.71,56.26,63.02,0.98,1.56,4.5,445.52,581.11,177.76,288.09,67.8,2.92,0.47,0.06,53.98,42.04,0.12,0.02
Ghorayeba,4.51,66.96,718.19,7.48,47.88,0.58,3.72,41.89,284.4,400.42,160.88,113.07,30.12,0.85,4.47,0.13,769.85,46.5,0.23,0.11
White Bread,12.01,42.53,771.27,26.19,9.31,2.11,5.91,142.61,406.72,316.43,110.94,110.17,117,0.29,3.33,0.04,704.61,14.24,0.13,0.12
Qatayef Asafiri,11.87,72.74,734.41,12.24,29.38,0.82,2.84,97.92,397.06,107.53,103.9,151.51,68.13,4.83,2.15,0.34,541.57,43.74,0.14,0.14
Yogurt,11.7,72.41,273.37,15.95,13.67,2.36,1.24,22.78,295.27,382.84,85.93,94.82,101.85,5.42,1.56,0.04,721.75,47.45,0.3,0.16
Moussaka Egyptian,1.15,73.43,118.69,5.48,5.48,0.69,3.82,10.96,146.39,103.32,121.15,286.23,32.54,0.86,3.1,0.29,706.15,44.12,0.03,0.4
Mango,0.8,43.09,224.8,3,1.5,2.21,6.01,56.2,492.77,103.69,154.27,262.97,102.83,3.17,3.57,0.2,97.65,5.32,0.31,0.34
Bamia,5.39,46.71,424.82,19.99,14.99,1.66,3.09,49.98,227.97,358.73,23.01,182.26,112.1,4.69,3.59,0.24,241.09,22.3,0.46,0.48
Vegetable Oil,6.62,49.45,1084.04,0,122.63,2.12,3.93,0,405.57,176.94,99.78,151.24,50.39,2.88,1.33,0.43,342.27,10.11,0.3,0.18
Grilled Fish,9.08,49.12,686.32,112.75,24.51,2.05,5.44,0,41.98,472.94,51.07,98.18,62.86,2.63,3.71,0.06,336.29,39.19,0.1,0.19
Bamia,0.89,69.99,212.98,10.02,7.52,1.57,0.3,25.06,98.29,506.81,47.31,136.22,36.95,2.94,2.78,0.08,694.04,49.91,0.21,0.48
Mahshi Vine Leaves,12.23,71.14,318.06,5.3,10.6,2.21,2.51,47.71,569.1,204.26,64.46,232.71,35.65,5.35,2.5,0.06,292.46,10.12,0.4,0.48
Beef Lean,5.16,70.86,833.07,86.64,56.65,0.77,6.9,0,278.34,309.54,61.57,254.56,67.93,5.9,1.45,0.19,172.16,50.32,0.32,0.34
Chicken Thigh Stewed,7.75,56.66,158.66,19.64,8.31,1.06,3.44,0,318.04,301.49,11.79,162.67,31.04,5.96,1.12,0.18,426.38,46.69,0.36,0.38
Hawawshi,6.15,55.03,1349.92,56.61,52.25,0.84,0.67,148.06,569.78,211.59,16.51,236.71,97.03,5.23,4.89,0.18,156.89,22.36,0.09,0.05
Moussaka Egyptian,13.46,76.96,432.44,19.96,19.96,1.54,7.06,39.92,339.83,374.28,114.15,56.91,54.35,3.72,2.87,0.34,753.84,14.08,0.12,0.42
Kofta,13.88,64.89,323.88,24.91,22.42,1.32,0.07,6.23,501.69,220.17,46.27,156.66,27.97,2.18,0.66,0.32,98.51,23.98,0.49,0.18
